appid,date,date_month,dauReal,reviews,max_60_newinstalls,max_45_newinstalls,max_90_newinstalls,avg_15_newinstalls,max_90_predictionLoss,category_flag,daily_ratings,max_90_diff_install_uninstall,max_90_daily_ratings,predictionLoss,max_30_newinstalls,avg_30_newinstalls,sum_90_newinstalls,avg_45_predictionLoss,avg_90_predictionLoss,avg_30_predictionLoss,avg_60_diff_install_uninstall,sum_90_diff_install_uninstall
com.app.10626,2024-09-23,202409,243834.0,134992.0,6260,6089,6383,4341.1875,34305,1,375.0,-18136,653.0,29068.0,6089.0,4670.354838709677,418848,29213.804347826088,30066.54945054945,29143.967741935485,-25038.590163934427,-2317208
com.app.10626,2024-09-24,202409,257349.0,135072.0,6260,6089,6383,4304.1875,34305,1,440.0,-18136,653.0,29644.0,6089.0,4656.903225806452,418861,29271.217391304348,30028.50549450549,29362.290322580644,-24962.131147540986,-2313733
com.app.10626,2024-09-25,202409,249930.0,135138.0,6260,6089,6383,4270.5,34305,1,437.0,-18136,653.0,31718.0,5466.0,4600.4838709677415,418891,29381.84782608696,30001.406593406595,29446.032258064515,-25032.131147540986,-2311237
com.app.10626,2024-09-26,202409,250002.0,135193.0,6260,6089,6383,4240.375,34305,1,381.0,-18136,653.0,29412.0,5466.0,4582.548387096775,418955,29410.152173913044,29957.45054945055,29549.58064516129,-25069.983606557376,-2307173
com.app.10626,2024-09-27,202409,273939.0,135248.0,6260,6089,6383,4209.0625,34305,1,307.0,-18136,653.0,25173.0,5466.0,4565.451612903225,419074,29250.41304347826,29928.846153846152,29326.74193548387,-25002.852459016394,-2304451
com.app.10626,2024-09-28,202409,243160.0,135314.0,6260,6089,6383,4259.25,34305,1,302.0,-18136,653.0,26452.0,5728.0,4589.225806451613,420492,29146.67391304348,29917.593406593405,29083.74193548387,-24905.72131147541,-2302009
com.app.10626,2024-09-29,202409,197322.0,135359.0,6260,6089,6383,4443.0,34305,1,258.0,-18136,653.0,27141.0,5728.0,4573.774193548387,420730,29032.67391304348,29881.813186813182,28922.548387096773,-24802.29508196721,-2298515
com.app.10626,2024-09-30,202409,273440.0,135414.0,6260,6089,6383,4452.0,34305,1,528.0,-18136,653.0,30238.0,5728.0,4558.032258064516,421000,29004.32608695652,29860.021978021978,29012.1935483871,-24756.803278688523,-2296262
com.app.13421,2024-09-01,202409,574009.0,54178.0,4167,4167,4167,2887.125,30640,1,87.0,-15831,335.0,25000.0,4167.0,2819.6451612903224,288141,26113.478260869564,26931.0989010989,25667.612903225807,-23318.245901639344,-2107150
com.app.13421,2024-09-02,202409,897648.0,54202.0,4167,4167,4167,2908.125,30640,1,124.0,-15831,335.0,26845.0,4167.0,2806.3548387096776,287607,26106.78260869565,26907.08791208791,25714.774193548383,-23296.508196721312,-2105499
