index,mean
category_flag,2.279496454926928
ratings,310058.42488785996
daily_ratings,146.15974533352627
reviews,92198.15879033424
daily_reviews,20.554941397771668
newinstalls,4062.6216550020586
predictionLoss,13032.648606407918
sum_15_daily_ratings,2252.958732455506
avg_15_daily_ratings,145.23583023292724
min_15_daily_ratings,70.37383880769788
max_15_daily_ratings,226.96961365938358
sum_30_daily_ratings,4211.078454637534
avg_30_daily_ratings,145.19158033184982
min_30_daily_ratings,54.961597453335266
max_30_daily_ratings,259.0774417595138
sum_45_daily_ratings,6027.472869338735
avg_45_daily_ratings,145.29300286770246
min_45_daily_ratings,44.979597742728984
max_45_daily_ratings,281.03472724641875
sum_60_daily_ratings,7723.583736072927
avg_60_daily_ratings,145.80976313237093
min_60_daily_ratings,38.23406164086239
max_60_daily_ratings,300.0190421067863
sum_90_daily_ratings,10759.548979887137
avg_90_daily_ratings,147.18854467247508
min_90_daily_ratings,27.768803356967155
max_90_daily_ratings,330.2232961944726
sum_15_daily_reviews,319.4693387353494
avg_15_daily_reviews,20.646994391442732
min_15_daily_reviews,9.749587613948778
max_15_daily_reviews,35.77485168571842
sum_30_daily_reviews,599.3682824482709
avg_30_daily_reviews,20.666816075490782
min_30_daily_reviews,7.543249891477355
max_30_daily_reviews,41.29321371726233
sum_45_daily_reviews,860.1506873100853
avg_45_daily_reviews,20.66203967131893
min_45_daily_reviews,6.155896397048184
max_45_daily_reviews,44.98127622630589
sum_60_daily_reviews,1102.196440457242
avg_60_daily_reviews,20.661871597953375
min_60_daily_reviews,5.147793372883808
max_60_daily_reviews,48.062248589205616
sum_90_daily_reviews,1526.727940963681
avg_90_daily_reviews,20.630568398439795
min_90_daily_reviews,3.500564317754305
max_90_daily_reviews,52.80544060193894
sum_15_newinstalls,62196.68256273234
avg_15_newinstalls,4055.074158146227
min_15_newinstalls,2069.4159793215613
max_15_newinstalls,5674.666531133829
sum_30_newinstalls,116295.22191352665
avg_30_newinstalls,4052.1758462954635
min_30_newinstalls,1576.7167911095676
max_30_newinstalls,5952.591103779591
sum_45_newinstalls,167090.75488351902
avg_45_newinstalls,4059.53839701897
min_45_newinstalls,1326.9336709593401
max_45_newinstalls,6081.477123426422
sum_60_newinstalls,214114.5846910722
avg_60_newinstalls,4062.190700008772
min_60_newinstalls,1157.6733323686876
max_60_newinstalls,6158.531066415859
sum_90_newinstalls,297123.00098393863
avg_90_newinstalls,4064.118779623852
min_90_newinstalls,922.0324410360295
max_90_newinstalls,6247.656229199826
sum_15_predictionLoss,203566.9518159456
avg_15_predictionLoss,13149.821323950211
min_15_predictionLoss,10863.484937056866
max_15_predictionLoss,15201.922442482997
sum_30_predictionLoss,383462.1326870207
avg_30_predictionLoss,13232.081349962684
min_30_predictionLoss,10434.394733034293
max_30_predictionLoss,15819.954362610331
sum_45_predictionLoss,551615.6643322239
avg_45_predictionLoss,13285.595938995932
min_45_predictionLoss,10161.045868904645
max_45_predictionLoss,16238.756012154536
sum_60_predictionLoss,707864.7602951817
avg_60_predictionLoss,13329.936680350373
min_60_predictionLoss,9970.981970771234
max_60_predictionLoss,16573.011749385038
sum_90_predictionLoss,984192.823180437
avg_90_predictionLoss,13409.02073321265
min_90_predictionLoss,9727.695702503255
max_90_predictionLoss,17102.764057299955
sum_15_diff_install_uninstall,-140314.6327544145
avg_15_diff_install_uninstall,-9143.64878338078
min_15_diff_install_uninstall,-12115.861204693309
max_15_diff_install_uninstall,-6237.851446328997
sum_30_diff_install_uninstall,-263810.12803148694
avg_30_diff_install_uninstall,-9195.261233568575
min_30_diff_install_uninstall,-12863.573450251779
max_30_diff_install_uninstall,-5661.846732650344
sum_45_diff_install_uninstall,-379604.9107799161
avg_45_diff_install_uninstall,-9239.724247606666
min_45_diff_install_uninstall,-13326.006800752424
max_45_diff_install_uninstall,-5320.161800028939
sum_60_diff_install_uninstall,-487280.2587179858
avg_60_diff_install_uninstall,-9281.033362101882
min_60_diff_install_uninstall,-13690.539516712488
max_60_diff_install_uninstall,-5085.777340471712
sum_90_diff_install_uninstall,-679081.6631457098
avg_90_diff_install_uninstall,-9357.03932404463
min_90_diff_install_uninstall,-14234.538677470699
max_90_diff_install_uninstall,-4800.894139777167
dauReal,458172.94142671104
date_month,202404.50079583272
