appId,date,dauReal,mauReal
com.app.88509,2024-01-02,3552201.0,24655609.0
com.app.19821,2024-01-01,582584.0,5196286.0
com.app.19821,2024-01-02,535711.0,5204498.0
com.app.60770,2024-01-01,8727.0,38642.0
com.app.60770,2024-01-02,13620.0,38671.0
com.app.64634,2024-01-01,1321.0,14988.0
com.app.64634,2024-01-02,1686.0,15097.0
com.app.64764,2024-01-01,15510.0,148869.0
com.app.64764,2024-01-02,20114.0,149787.0
com.app.74794,2024-01-01,153064.0,1773743.0
com.app.74794,2024-01-02,212809.0,1762165.0
com.app.39929,2024-01-01,399307.0,2084539.0
com.app.39929,2024-01-02,653856.0,2077233.0
com.app.37962,2024-01-01,91226.0,1429993.0
com.app.37962,2024-01-02,132176.0,1427397.0
com.app.31097,2024-01-01,15959.0,170464.0
com.app.31097,2024-01-02,16500.0,170967.0
com.app.63770,2024-01-01,160536.0,1737643.0
com.app.63770,2024-01-02,352780.0,1741037.0
com.app.80525,2024-01-01,9391.0,239493.0
com.app.80525,2024-01-02,15325.0,238370.0
com.app.95444,2024-01-01,1818.0,34388.0
com.app.95444,2024-01-02,3411.0,34320.0
com.app.87362,2024-01-01,210524.0,814273.0
com.app.87362,2024-01-02,211156.0,819196.0
com.app.97802,2024-01-01,2160.0,55413.0
com.app.97802,2024-01-02,4522.0,54704.0
com.app.95243,2024-01-01,59920.0,509353.0
com.app.95243,2024-01-02,140181.0,511599.0
com.app.55481,2024-01-01,16664.0,287974.0
com.app.55481,2024-01-02,23865.0,288122.0
com.app.17806,2024-01-01,163431.0,3502553.0
com.app.17806,2024-01-02,391165.0,3494410.0
com.app.80610,2024-01-01,611934.0,10237530.0
com.app.80610,2024-01-02,1098533.0,10213653.0
com.app.62062,2024-01-01,22618.0,497189.0
com.app.62062,2024-01-02,33089.0,494210.0
com.app.34216,2024-01-01,1729.0,38562.0
com.app.34216,2024-01-02,1737.0,38541.0
com.app.26790,2024-01-01,6245.0,141749.0
com.app.26790,2024-01-02,13458.0,141242.0
com.app.18251,2024-01-01,28317.0,239789.0
com.app.18251,2024-01-02,61890.0,241496.0
com.app.99432,2024-01-01,791535.0,2978711.0
com.app.99432,2024-01-02,1009764.0,2975421.0
com.app.23305,2024-01-01,4686374.0,29605840.0
com.app.23305,2024-01-02,4817159.0,29563763.0
com.app.30329,2024-01-01,797005.0,10432652.0
com.app.30329,2024-01-02,849010.0,10439950.0
com.app.14509,2024-01-01,777969.0,5880590.0
com.app.14509,2024-01-02,1296178.0,5872769.0
com.app.55057,2024-01-01,2141.0,103561.0
com.app.55057,2024-01-02,4921.0,102429.0
com.app.60633,2024-01-01,9178.0,444314.0
com.app.60633,2024-01-02,29597.0,440686.0
com.app.66274,2024-01-01,6360.0,76404.0
com.app.66274,2024-01-02,14208.0,76350.0
com.app.68335,2024-01-01,7938.0,68700.0
com.app.68335,2024-01-02,11982.0,68993.0
com.app.92210,2024-01-01,11512.0,107772.0
com.app.92210,2024-01-02,13370.0,107663.0
com.app.64353,2024-01-01,174753.0,721779.0
com.app.64353,2024-01-02,286710.0,721905.0
com.app.22262,2024-01-01,60546.0,611692.0
com.app.22262,2024-01-02,74438.0,613914.0
com.app.92275,2024-01-01,57670.0,758684.0
com.app.92275,2024-01-02,84682.0,754293.0
com.app.64667,2024-01-01,154896.0,1806948.0
com.app.64667,2024-01-02,1012.0,1806060.0
com.app.79907,2024-01-02,1012.0,5874.0
com.app.78794,2024-01-01,4765296.0,21926370.0
com.app.78794,2024-01-02,6693345.0,21817481.0
com.app.65216,2024-01-01,9318.0,194478.0
com.app.65216,2024-01-02,13519.0,194426.0
com.app.85803,2024-01-01,2874.0,61716.0
com.app.85803,2024-01-02,6954.0,61516.0
com.app.78155,2024-01-01,10171.0,78342.0
com.app.78155,2024-01-02,31619.0,78600.0
com.app.14811,2024-01-01,11466.0,107133.0
com.app.14811,2024-01-02,25628.0,107480.0
com.app.85231,2024-01-01,8888.0,73394.0
com.app.85231,2024-01-02,19165.0,73166.0
com.app.78470,2024-01-01,17139.0,472638.0
com.app.78470,2024-01-02,31443.0,471668.0
com.app.48065,2024-01-01,448498.0,4183012.0
com.app.48065,2024-01-02,711324.0,4170905.0
com.app.97988,2024-01-01,5790.0,60640.0
com.app.97988,2024-01-02,6634.0,60380.0
com.app.24343,2024-01-01,17130.0,196445.0
com.app.24343,2024-01-02,22429.0,200542.0
com.app.40009,2024-01-01,77592.0,296839.0
com.app.40009,2024-01-02,86333.0,297143.0
com.app.78762,2024-01-01,87844.0,182490.0
com.app.78762,2024-01-02,87826.0,182671.0
com.app.34656,2024-01-01,43908.0,541837.0
com.app.34656,2024-01-02,54107.0,541405.0
com.app.97976,2024-01-01,4090.0,86561.0
com.app.97976,2024-01-02,6831.0,86721.0
com.app.21397,2024-01-01,51576.0,504715.0
com.app.21397,2024-01-02,60005.0,509844.0
com.app.95194,2024-01-01,333135.0,4878634.0
com.app.95194,2024-01-02,539283.0,4849513.0
com.app.60423,2024-01-01,44667.0,678081.0
com.app.60423,2024-01-02,65535.0,674361.0
com.app.81754,2024-01-01,8651.0,76160.0
com.app.81754,2024-01-02,9631.0,76685.0
com.app.34625,2024-01-01,13097.0,167914.0
com.app.34625,2024-01-02,32301.0,169003.0
com.app.21027,2024-01-01,17674.0,406438.0
com.app.21027,2024-01-02,45081.0,408446.0
com.app.19872,2024-01-01,26131.0,241034.0
com.app.19872,2024-01-02,49413.0,240923.0
com.app.64776,2024-01-01,3447.0,107351.0
com.app.64776,2024-01-02,4067.0,104455.0
com.app.44002,2024-01-01,12282.0,140912.0
com.app.44002,2024-01-02,20371.0,141488.0
com.app.87209,2024-01-01,2568.0,66299.0
com.app.87209,2024-01-02,5016.0,65190.0
com.app.72653,2024-01-01,15223.0,111971.0
com.app.72653,2024-01-02,19537.0,111794.0
com.app.27567,2024-01-01,7733.0,126862.0
com.app.27567,2024-01-02,7505.0,126899.0
com.app.90857,2024-01-01,4220.0,136323.0
com.app.90857,2024-01-02,6055.0,134162.0
com.app.50792,2024-01-01,7542.0,113831.0
com.app.50792,2024-01-02,8892.0,113481.0
com.app.91390,2024-01-01,26086.0,172572.0
com.app.91390,2024-01-02,40224.0,173630.0
com.app.79754,2024-01-01,6067.0,158905.0
com.app.79754,2024-01-02,12016.0,159785.0
com.app.55537,2024-01-01,13563.0,139100.0
com.app.55537,2024-01-02,14864.0,139036.0
com.app.88516,2024-01-03,1261.0,15076.0
com.app.80569,2024-01-03,14194.0,169631.0
com.app.59849,2024-01-03,46154.0,1150131.0
com.app.93571,2024-01-03,2529159.0,12608881.0
com.app.96938,2024-01-03,15339.0,138718.0
com.app.36612,2024-01-03,23329.0,171961.0
com.app.72656,2024-01-03,89073.0,417678.0
com.app.82889,2024-01-03,1330.0,13056.0
com.app.86367,2024-01-03,115458.0,661424.0
com.app.58221,2024-01-03,139212.0,624882.0
com.app.36145,2024-01-03,240450.0,1939988.0
com.app.89034,2024-01-03,46983.0,369308.0
com.app.53788,2024-01-03,2073.0,17595.0
com.app.31454,2024-01-03,4875.0,49857.0
com.app.59245,2024-01-03,23670.0,180358.0
com.app.45088,2024-01-03,4083529.0,12176953.0
com.app.64851,2024-01-03,6548.0,79459.0
com.app.24438,2024-01-03,67342.0,559060.0
com.app.72306,2024-01-03,36121.0,250894.0
com.app.20657,2024-01-03,4800.0,28385.0
com.app.94251,2024-01-03,50055.0,199052.0
com.app.88484,2024-01-03,2486088.0,11496196.0
com.app.61743,2024-01-03,63070.0,491627.0
com.app.64140,2024-01-03,101166.0,737956.0
com.app.45949,2024-01-03,648450.0,3068529.0
com.app.55621,2024-01-03,366706.0,1637714.0
com.app.31404,2024-01-03,10347.0,41988.0
com.app.90842,2024-01-03,37731.0,162137.0
com.app.37148,2024-01-03,12508.0,53000.0
com.app.69241,2024-01-03,1152.0,5428.0
com.app.50679,2024-01-03,12359.0,146372.0
com.app.87411,2024-01-03,45030.0,454472.0
com.app.35851,2024-01-03,15492.0,180397.0
com.app.44541,2024-01-03,1709.0,36327.0
com.app.84714,2024-01-03,142444.0,973929.0
com.app.37873,2024-01-03,31110.0,269600.0
com.app.91525,2024-01-03,4605.0,63337.0
com.app.47938,2024-01-03,2191.0,34502.0
com.app.23207,2024-01-03,33853.0,323052.0
com.app.98198,2024-01-03,2872.0,23592.0
com.app.13655,2024-01-03,19887.0,77025.0
com.app.37541,2024-01-03,45257.0,432009.0
com.app.65327,2024-01-03,65751.0,591615.0
com.app.89044,2024-01-03,1770.0,9785.0
com.app.68015,2024-01-03,119148.0,1320323.0
com.app.81778,2024-01-03,968.0,20013.0
com.app.18711,2024-01-03,87459.0,429780.0
com.app.15675,2024-01-03,109576.0,791267.0
com.app.36257,2024-01-03,584187.0,1976842.0
com.app.93131,2024-01-03,12153.0,33405.0
com.app.88509,2024-01-03,3577658.0,24632651.0
com.app.19821,2024-01-03,495262.0,5202067.0
com.app.60770,2024-01-03,14724.0,38694.0
com.app.64634,2024-01-03,1457.0,15223.0
com.app.64764,2024-01-03,17967.0,150264.0
com.app.74794,2024-01-03,196701.0,1744527.0
com.app.39929,2024-01-03,618068.0,2069002.0
com.app.37962,2024-01-03,139801.0,1428261.0
com.app.31097,2024-01-03,14180.0,171362.0
com.app.54019,2024-01-01,4534.0,79498.0
com.app.54019,2024-01-02,5134.0,78368.0
com.app.54019,2024-01-03,5544.0,77517.0
com.app.63770,2024-01-03,375619.0,1743608.0
com.app.80525,2024-01-03,14935.0,237421.0
com.app.95444,2024-01-03,3343.0,34444.0
com.app.87362,2024-01-03,210722.0,822714.0
com.app.97802,2024-01-03,4853.0,54450.0
com.app.95243,2024-01-03,141340.0,512110.0
com.app.55481,2024-01-03,23503.0,287446.0
com.app.17806,2024-01-03,422850.0,3483803.0
com.app.80610,2024-01-03,1146205.0,10180140.0
