appId,date,country,lang,predictionLoss
com.app.18711,2024-01-01,br,pt,2184
com.app.37148,2024-01-01,br,pt,1387
com.app.34625,2024-01-01,br,pt,2640
com.app.91390,2024-01-01,br,pt,15436
com.app.39929,2024-01-01,br,pt,4392
com.app.90128,2024-01-01,br,pt,1786
com.app.64140,2024-01-01,br,pt,8607
com.app.38566,2024-01-01,br,pt,4575
com.app.72306,2024-01-01,br,pt,8554
com.app.16773,2024-01-01,br,pt,12790
com.app.34610,2024-01-01,br,pt,1915
com.app.27567,2024-01-01,br,pt,1678
com.app.68015,2024-01-01,br,pt,27138
com.app.13421,2024-01-01,br,pt,30033
com.app.41993,2024-01-01,br,pt,5082
com.app.94251,2024-01-01,br,pt,1309
com.app.24438,2024-01-01,br,pt,10804
com.app.91093,2024-01-01,br,pt,9485
com.app.79754,2024-01-01,br,pt,5393
com.app.96037,2024-01-01,br,pt,3062
com.app.13655,2024-01-01,br,pt,1569
com.app.35851,2024-01-01,br,pt,9746
com.app.81778,2024-01-01,br,pt,1786
com.app.43563,2024-01-01,br,pt,4884
com.app.32607,2024-01-01,br,pt,1878
com.app.44541,2024-01-01,br,pt,8190
com.app.15675,2024-01-01,br,pt,2503
com.app.37904,2024-01-01,br,pt,14344
com.app.21603,2024-01-01,br,pt,7679
com.app.98438,2024-01-01,br,pt,1786
com.app.95444,2024-01-01,br,pt,1924
com.app.86367,2024-01-01,br,pt,2438
com.app.67629,2024-01-01,br,pt,6068
com.app.64634,2024-01-01,br,pt,2093
com.app.68942,2024-01-01,br,pt,7120
com.app.64764,2024-01-01,br,pt,2289
com.app.90842,2024-01-01,br,pt,1753
com.app.43242,2024-01-01,br,pt,10050
com.app.74881,2024-01-01,br,pt,1591
com.app.87411,2024-01-01,br,pt,4743
com.app.55481,2024-01-01,br,pt,2863
com.app.84237,2024-01-01,br,pt,1786
com.app.95243,2024-01-01,br,pt,3281
com.app.50792,2024-01-01,br,pt,1400
com.app.20657,2024-01-01,br,pt,1902
com.app.89034,2024-01-01,br,pt,1809
com.app.28498,2024-01-01,br,pt,86069
com.app.23207,2024-01-01,br,pt,7306
com.app.80569,2024-01-10,br,pt,4459
com.app.88516,2024-01-10,br,pt,8974
com.app.59849,2024-01-10,br,pt,22811
com.app.96938,2024-01-10,br,pt,1584
com.app.93571,2024-01-10,br,pt,124583
com.app.36612,2024-01-10,br,pt,4839
com.app.72656,2024-01-10,br,pt,6263
com.app.96434,2024-01-10,br,pt,1787
com.app.82889,2024-01-10,br,pt,1903
com.app.86367,2024-01-10,br,pt,2402
com.app.79907,2024-01-10,br,pt,1410
com.app.78794,2024-01-10,br,pt,142415
com.app.85803,2024-01-10,br,pt,897
com.app.65216,2024-01-10,br,pt,6327
com.app.78155,2024-01-10,br,pt,1386
com.app.14811,2024-01-10,br,pt,1563
com.app.85231,2024-01-10,br,pt,1710
com.app.78470,2024-01-10,br,pt,4474
com.app.70060,2024-01-10,br,pt,1787
com.app.97988,2024-01-10,br,pt,6173
com.app.24343,2024-01-10,br,pt,9889
com.app.48065,2024-01-10,br,pt,26562
com.app.40009,2024-01-10,br,pt,1670
com.app.96897,2024-01-10,br,pt,3212
com.app.78762,2024-01-10,br,pt,8292
com.app.97976,2024-01-10,br,pt,8906
com.app.92275,2024-01-10,br,pt,5918
com.app.64667,2024-01-10,br,pt,12850
com.app.34656,2024-01-10,br,pt,6976
com.app.21397,2024-01-10,br,pt,10010
com.app.81754,2024-01-10,br,pt,7068
com.app.95194,2024-01-10,br,pt,32330
com.app.37962,2024-01-10,br,pt,8059
com.app.74794,2024-01-10,br,pt,14423
com.app.66274,2024-01-10,br,pt,692
com.app.84679,2024-01-10,br,pt,1787
com.app.68335,2024-01-10,br,pt,1783
com.app.92210,2024-01-10,br,pt,4060
com.app.64353,2024-01-10,br,pt,2355
com.app.22262,2024-01-10,br,pt,5065
com.app.13071,2024-01-10,br,pt,1937
com.app.24391,2024-01-10,br,pt,2194
com.app.83359,2024-01-10,br,pt,3779
com.app.36145,2024-01-10,br,pt,14231
com.app.99432,2024-01-10,br,pt,15366
com.app.63770,2024-01-10,br,pt,6489
com.app.54019,2024-01-10,br,pt,4937
com.app.53788,2024-01-10,br,pt,1396
com.app.55537,2024-01-10,br,pt,10119
com.app.55621,2024-01-10,br,pt,18282
com.app.23305,2024-01-10,br,pt,129729
com.app.87209,2024-01-10,br,pt,1928
com.app.37873,2024-01-10,br,pt,14841
com.app.33540,2024-01-10,br,pt,13627
com.app.62109,2024-01-10,br,pt,22823
com.app.41189,2024-01-10,br,pt,73918
com.app.50760,2024-01-10,br,pt,663
com.app.36648,2024-01-10,br,pt,2387
com.app.31153,2024-01-10,br,pt,51554
com.app.19772,2024-01-10,br,pt,5990
com.app.82896,2024-01-10,br,pt,3230
com.app.96361,2024-01-10,br,pt,5364
com.app.38543,2024-01-10,br,pt,6828
com.app.45949,2024-01-10,br,pt,38689
com.app.48916,2024-01-10,br,pt,924
com.app.26790,2024-01-10,br,pt,1807
com.app.88311,2024-01-10,br,pt,2025
com.app.90856,2024-01-10,br,pt,2258
com.app.14509,2024-01-10,br,pt,55173
com.app.31097,2024-01-10,br,pt,5821
com.app.37541,2024-01-10,br,pt,3751
com.app.65327,2024-01-10,br,pt,4702
com.app.60423,2024-01-10,br,pt,6677
com.app.88484,2024-01-10,br,pt,74356
com.app.23000,2024-01-10,br,pt,1902
com.app.84594,2024-01-10,br,pt,1926
com.app.88832,2024-01-10,br,pt,4611
com.app.17441,2024-01-10,br,pt,3947
com.app.10626,2024-01-10,br,pt,37028
com.app.39058,2024-01-10,br,pt,1813
com.app.55531,2024-01-10,br,pt,1787
com.app.18664,2024-01-10,br,pt,1878
com.app.16599,2024-01-10,br,pt,1482
com.app.34279,2024-01-10,br,pt,1787
com.app.62062,2024-01-10,br,pt,3627
com.app.87362,2024-01-10,br,pt,27404
com.app.47938,2024-01-10,br,pt,1846
com.app.45088,2024-01-10,br,pt,84351
com.app.60770,2024-01-10,br,pt,1789
com.app.20103,2024-01-10,br,pt,1787
com.app.91706,2024-01-10,br,pt,4708
com.app.89044,2024-01-10,br,pt,1932
com.app.95733,2024-01-10,br,pt,1544
com.app.17806,2024-01-10,br,pt,30369
com.app.18251,2024-01-10,br,pt,2269
com.app.34216,2024-01-10,br,pt,1787
com.app.86358,2024-01-10,br,pt,2484
com.app.60429,2024-01-10,br,pt,1982
com.app.36433,2024-01-10,br,pt,1937
com.app.98198,2024-01-10,br,pt,1922
com.app.66309,2024-01-10,br,pt,1764
com.app.72653,2024-01-10,br,pt,1567
com.app.91205,2024-01-10,br,pt,1787
com.app.36257,2024-01-10,br,pt,8484
com.app.60027,2024-01-10,br,pt,1787
com.app.47280,2024-01-10,br,pt,66712
com.app.58221,2024-01-10,br,pt,9824
com.app.77385,2024-01-10,br,pt,4342
com.app.19544,2024-01-10,br,pt,147436
com.app.80610,2024-01-10,br,pt,136649
com.app.85381,2024-01-10,br,pt,1844
com.app.48189,2024-01-10,br,pt,1524
com.app.64851,2024-01-10,br,pt,1590
com.app.55057,2024-01-10,br,pt,2669
com.app.19821,2024-01-10,br,pt,27864
com.app.69241,2024-01-10,br,pt,1937
com.app.61743,2024-01-10,br,pt,3798
com.app.80525,2024-01-10,br,pt,5265
com.app.19872,2024-01-10,br,pt,1691
com.app.31404,2024-01-10,br,pt,1406
com.app.97548,2024-01-10,br,pt,7701
com.app.97802,2024-01-10,br,pt,7145
com.app.47188,2024-01-10,br,pt,36245
com.app.21605,2024-01-10,br,pt,3978
com.app.91525,2024-01-10,br,pt,7231
com.app.44002,2024-01-10,br,pt,8774
com.app.11502,2024-01-10,br,pt,1787
com.app.60934,2024-01-10,br,pt,1558
com.app.15493,2024-01-10,br,pt,1396
com.app.60633,2024-01-10,br,pt,9987
com.app.93131,2024-01-10,br,pt,1786
com.app.84714,2024-01-10,br,pt,14224
com.app.21027,2024-01-10,br,pt,5140
com.app.35190,2024-01-10,br,pt,124845
com.app.64776,2024-01-10,br,pt,8524
com.app.31454,2024-01-10,br,pt,1521
com.app.90857,2024-01-10,br,pt,1787
com.app.88509,2024-01-10,br,pt,28935
com.app.20651,2024-01-10,br,pt,1937
com.app.50679,2024-01-10,br,pt,1543
com.app.59245,2024-01-10,br,pt,1596
com.app.18711,2024-01-10,br,pt,2178
com.app.37148,2024-01-10,br,pt,1395
com.app.71740,2024-01-10,br,pt,1462
com.app.34625,2024-01-10,br,pt,2345
com.app.91390,2024-01-10,br,pt,19833
com.app.39929,2024-01-10,br,pt,3674
com.app.90128,2024-01-10,br,pt,1787
com.app.64140,2024-01-10,br,pt,8753
